creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
José Simeão de Oliveira,Rio de Janeiro,Escola Militar da Praia Vermelha,ingresso em 1855,https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira,https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira,https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira,A fonte documenta formação militar e em ciências físicas e matemáticas.,alta
Elisa,,,,,,,,
Teodoro Braga,Recife; Rio de Janeiro; Paris,Faculdade de Direito do Recife; Escola Nacional de Belas Artes; Academia Julian,bacharel em 1893; 1900-1905 em Paris,https://pt.wikipedia.org/wiki/Teodoro_Braga | https://obrasraras.fcp.pa.gov.br/book-author/theodoro-jose-da-silva-braga-1872-1953/ | https://fcp.pa.gov.br/galeriasfcp/pagina/209,https://pt.wikipedia.org/wiki/Teodoro_Braga | https://obrasraras.fcp.pa.gov.br/book-author/theodoro-jose-da-silva-braga-1872-1953/ | https://fcp.pa.gov.br/galeriasfcp/pagina/209,https://pt.wikipedia.org/wiki/Teodoro_Braga | https://fcp.pa.gov.br/galeriasfcp/pagina/209,As fontes citam Jean-Paul Laurens e Benjamin Constant como mestres em Paris.,alta
http://www.wikidata.org/.well-known/genid/9f9d5c4140c3104439e867f33f3e7602,,,,,,,,
Quinten Metsys,Leuven; Antuérpia,formação inicial em Leuven; provável aprendizagem em oficinas da família Bouts; Guilda de São Lucas de Antuérpia,antes de 1491; mestre em Antuérpia em 1491,https://en.wikipedia.org/wiki/Quentin_Matsys | https://www.wikiart.org/en/quentin-matsys | https://thekleschcollection.com/selected-works/quinten-metsys-christ-blessing/,https://en.wikipedia.org/wiki/Quentin_Matsys | https://thekleschcollection.com/selected-works/quinten-metsys-christ-blessing/,https://en.wikipedia.org/wiki/Quentin_Matsys,A formação inicial é reconstruída por historiadores; registros de guilda em Leuven não foram preservados.,baixa
http://www.wikidata.org/.well-known/genid/3c46c3fb42b9b6cffea1bb5c4d3019b8,,,,,,,,
Adolf Methfessel,Berna; Bruxelas; Berlim; Tucumán,aprendizagem como jardineiro; primeiras aulas de desenho em Bruxelas; estudos de arquitetura de jardins em Berlim; professor de desenho no State College of Tucumán,1856; 1878-1885,https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel | https://www.swissinfo.ch/por/cultura/o-artista-su%C3%AD%C3%A7o-que-documentou-a-guerra-da-tr%C3%ADplice-alian%C3%A7a/87475847,https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel,https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel,A fonte aberta mais específica informa aulas de desenho em Bruxelas em 1856 e estudos de arquitetura de jardins em Berlim; registrei a aprendizagem inicial de jardineiro como etapa formativa documentada.,media
Valério Vieira,Rio de Janeiro,Academia Imperial de Belas Artes (aluno ouvinte),a partir de 1875,https://enciclopedia.itaucultural.org.br/pessoas/6241-valerio-vieira | https://pt.wikipedia.org/wiki/Val%C3%A9rio_Vieira,https://enciclopedia.itaucultural.org.br/pessoas/6241-valerio-vieira,https://enciclopedia.itaucultural.org.br/pessoas/6241-valerio-vieira,,alta
Joaquim da Rocha Fragoso,Rio de Janeiro,"Academia Imperial de Belas Artes (Aiba); estudos com Debret, Félix Taunay, Manuel de Araújo Porto-Alegre e August Müller",décadas de 1840-1850,https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso | https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/,https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/ | https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso,https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso | https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/,,alta
Gustave James,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,Registro prudente por ausência de instituição específica em fonte aberta.,baixa
http://www.wikidata.org/.well-known/genid/1143f3ecdedcf39e7a62adc7d6dfdb16,,,,,,,,
http://www.wikidata.org/.well-known/genid/7eb934bea30a02ec833bf15a694cd7be,,,,,,,,
José de Paula Barros,Paris,aperfeiçoamento artístico em Paris (instituição não identificada na fonte),1907,https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/,https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/,https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/,"A fonte aberta confirma estudos em Paris, mas não identifica a instituição.",media
http://www.wikidata.org/.well-known/genid/e6f7d16bca543921276874ed6ba7894f,,,,,,,,
http://www.wikidata.org/.well-known/genid/f778262ec49983ba77895d32382b9623,,,,,,,,
José Maria dos Reis Júnior,Rio de Janeiro,Escola Nacional de Belas Artes (Enba),1920-1923,https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior,https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior,https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior,O verbete também informa estudos de desenho com Modesto Brocos e pintura com Rodolfo Amoedo.,alta
João Batista Bordon,Rio de Janeiro,Escola Nacional de Belas Artes (Enba),meados de 1900; prêmio de viagem em 1915,https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon,https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon,https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon,A fonte indica condição de aluno livre e mestres Baptista da Costa e Zeferino da Costa.,alta
http://www.wikidata.org/.well-known/genid/7e5f0c729ad3dbf516e1c061f6860482,,,,,,,,
"Pereira, A.J.",,,,,,,,
Genesco Murta,Paris,"Académie de la Grande Chaumière; Académie Colarossi; estudos com Mauricet, Reynold, Charles Guérin e Bernard Naudin",1912-1915,https://pt.wikipedia.org/wiki/Genesco_Murta | https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/,https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/ | https://www.escritoriodearte.com/artista/genesco-murta,https://pt.wikipedia.org/wiki/Genesco_Murta | https://www.catalogodasartes.com.br/artista/Genesco%20Murta%20-%20Genesco%20Lages%20Murta%20/,,alta
Jordão de Oliveira,Aracaju,primeiros estudos de desenho com Quintino Marques,,https://www.guiadasartes.com.br/jordao-de-oliveira/biografia | https://ihgse.org.br/wordpress/jordao-eduardo-de-oliveira-nunes/,https://www.guiadasartes.com.br/jordao-de-oliveira/biografia | https://ihgse.org.br/wordpress/jordao-eduardo-de-oliveira-nunes/,,As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques; não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.,media
Cuzco school,,,,,,,,
Edgard Cognat,Rio de Janeiro,curso de Belas Artes dirigido por Carlos Chambelland,aos 17 anos; aproximadamente a partir de 1936,https://en.wikipedia.org/wiki/Edgard_Cognat | https://editoradegustar.com.br/produto/gravura-em-metal-edgard-cognat/,https://en.wikipedia.org/wiki/Edgard_Cognat | https://editoradegustar.com.br/produto/gravura-em-metal-edgard-cognat/,https://en.wikipedia.org/wiki/Edgard_Cognat | https://editoradegustar.com.br/produto/gravura-em-metal-edgard-cognat/,"Em gravura, as fontes indicam percurso autodidata; registrei apenas a formação que aparece com suporte explícito.",media
http://www.wikidata.org/.well-known/genid/132f9357e420bd0b29adf036929a5812,,,,,,,,
João Francisco Lopes Rodrigues,Salvador,Aula Pública de Desenho da Bahia; estudos com José Rodrigues Nunes; assistência a Teófilo de Jesus,,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Francisco_Lopes_Rodrigues | https://enciclopedia.itaucultural.org.br/pessoas/7099-joao-francisco-lopes-rodrigues,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Francisco_Lopes_Rodrigues | https://enciclopedia.itaucultural.org.br/pessoas/7099-joao-francisco-lopes-rodrigues,,"A formação aparece pela Aula Pública e por mestres, sem cronologia fechada na fonte aberta.",alta
Mme. A. Deharmel,,,,,,,,
Manoel de Oliveira Pastana,Belém,estudos com Theodoro Braga e Francisco Estrada,,https://pt.wikipedia.org/wiki/Manoel_Pastana,https://pt.wikipedia.org/wiki/Manoel_Pastana,,A fonte aberta registra formação por artistas-mestres em Belém.,media
http://www.wikidata.org/.well-known/genid/71a225033eec846bd36c5fa24e8d9d9f,,,,,,,,
Horácio Hora,Paris,Escola de Belas Artes de Paris; Escola Municipal de Desenho de Paris,c.1875-c.1881,https://pt.wikipedia.org/wiki/Hor%C3%A1cio_Hora | https://www.catalogodasartes.com.br/artista/Hor%EF%BF%BDcio%20Hora/,https://pt.wikipedia.org/wiki/Hor%C3%A1cio_Hora | https://www.catalogodasartes.com.br/artista/Hor%EF%BF%BDcio%20Hora/,https://pt.wikipedia.org/wiki/Hor%C3%A1cio_Hora | https://www.catalogodasartes.com.br/artista/Hor%EF%BF%BDcio%20Hora/,As fontes citam orientação de Justin-Marie Lequien.,alta
Louis-Auguste Moreaux,Paris,ateliê de escultura francês; instituição não identificada na fonte aberta consultada,,https://data.bnf.fr/fr/14967958/louis-auguste_moreaux/,https://data.bnf.fr/fr/14967958/louis-auguste_moreaux/,,Sem escola formal explicitada na fonte aberta recuperada.,baixa
A. Tinoco,,,,,,,,
http://www.wikidata.org/.well-known/genid/439c2e2faa05449cb393bd872bdbcd18,,,,,,,,
http://www.wikidata.org/.well-known/genid/de15d7252443dafd4baa5c45c4b6a130,,,,,,,,
Angelina Agostini,Rio de Janeiro; Londres,Escola Nacional de Belas Artes (Enba); ateliê de Henrique Bernardelli,1906-1911; a partir de 1911,https://pt.wikipedia.org/wiki/Angelina_Agostini | https://enciclopedia.itaucultural.org.br/pessoas/6491-angelina-agostini,https://pt.wikipedia.org/wiki/Angelina_Agostini | https://enciclopedia.itaucultural.org.br/pessoas/6491-angelina-agostini,https://pt.wikipedia.org/wiki/Angelina_Agostini | https://enciclopedia.itaucultural.org.br/pessoas/6491-angelina-agostini,Os estudos iniciais com o pai Angelo Agostini aparecem na fonte complementar.,alta
V. F. Leite,,,,,,,,
http://www.wikidata.org/.well-known/genid/bd3c62c30a3b4e07a459bcd53d0047d1,,,,,,,,
http://www.wikidata.org/.well-known/genid/00f84b31cb4cb67e343f08acc8a5a52a,,,,,,,,
http://www.wikidata.org/.well-known/genid/1dc096b2c4a112926d4e84b90dd4385e,,,,,,,,
http://www.wikidata.org/.well-known/genid/87536ecd3c62c7a154bec6d5b4632ff2,,,,,,,,
Cincinato Mavignier,Rio de Janeiro; Paris; Ulm,Escola Nacional de Belas Artes; Académie de la Grande Chaumière; Hochschule für Gestaltung Ulm,década de 1940; 1949-1951; 1953-1958,https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier | https://pt.wikipedia.org/wiki/Alu%C3%ADsio_Carv%C3%A3o,https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier,https://enciclopedia.itaucultural.org.br/pessoa8462/cincinato-mavignier,A etapa em Ulm é especialmente bem documentada; nomeei as instituições com forma oficial.,alta
M. Jacques,,,,,,,,
http://www.wikidata.org/.well-known/genid/e01aa25af3f30cf6f748c902e9be9c5d,,,,,,,,
http://www.wikidata.org/.well-known/genid/7290133f723050a0dd850d5625645859,,,,,,,,
http://www.wikidata.org/.well-known/genid/9226ecd00dca24a841c172d771e9dbce,,,,,,,,
http://www.wikidata.org/.well-known/genid/81e1312155e759f783098da771201d2d,,,,,,,,
Manuel Faria Guimarães,Rio de Janeiro,Liceu de Artes e Ofícios; Escola Nacional de Belas Artes,1909; 1913 em diante,https://pt.wikipedia.org/wiki/Manuel_Faria_Guimar%C3%A3es | https://www.arrematearte.com.br/artistas/manuel-faria-guimaraes-1895,https://pt.wikipedia.org/wiki/Manuel_Faria_Guimar%C3%A3es | https://www.arrematearte.com.br/artistas/manuel-faria-guimaraes-1895,https://pt.wikipedia.org/wiki/Manuel_Faria_Guimar%C3%A3es | https://www.arrematearte.com.br/artistas/manuel-faria-guimaraes-1895,"A fonte também nomeia Eurico Alves, João Batista da Costa, Lucílio de Albuquerque e Rodolfo Chambelland como mestres.",alta
Ernst Nowak,Viena,Akademie der bildenden Künste Wien,1871-1881,https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml,https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml,https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml,"A fonte aberta também informa os professores K. Mayer, Wurzinger e Eisenmenger.",alta
http://www.wikidata.org/.well-known/genid/89b6268c2e3f1f57ec1bd5b973f32037,,,,,,,,
E. Ribeiro,,,,,,,,
Maria Emília Campos,Belo Horizonte,Escola Guignard,,https://acervoghm.blogspot.com/2015/03/maria-emilia-campos-1980.html,https://acervoghm.blogspot.com/2015/03/maria-emilia-campos-1980.html,,,alta
F. Prata,,,,,,,,
Maria Salomé,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/,,,Nome amplo e fontes abertas insuficientes nesta rodada.,baixa
L. Masson,,,,,,,,
http://www.wikidata.org/.well-known/genid/b1b795c3f61a4b21ecf25a9fc7c32812,,,,,,,,
João Timóteo da Costa,Rio de Janeiro,Escola Nacional de Belas Artes (Enba),por volta de 1894 em diante,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Tim%C3%B3teo_da_Costa | https://enciclopedia.itaucultural.org.br/pessoas/7117-joao-timotheo-da-costa,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Tim%C3%B3teo_da_Costa | https://enciclopedia.itaucultural.org.br/pessoas/7117-joao-timotheo-da-costa,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Tim%C3%B3teo_da_Costa,"A fonte cita estudos com Daniel Bérard, Zeferino da Costa e Rodolfo Amoedo.",alta
http://www.wikidata.org/.well-known/genid/d8917ce539c901e6920ded5e0cde520d,,,,,,,,
http://www.wikidata.org/.well-known/genid/3eae255f370e61b2f81d43e4e8960793,,,,,,,,
Helios Seelinger,Rio de Janeiro; Munique; Paris,Escola Nacional de Belas Artes (Enba); ateliê dos irmãos Bernardelli; Academia Azbe; Academia de Munique; estudos com Jean-Paul Laurens,1891-1896; 1897-1900; depois de 1903 em Paris e Munique,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.guiadasartes.com.br/helios-seelinger/quem-foi,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.ufrgs.br/acervopbsa/autor_/seelinger-helios/,https://pt.wikipedia.org/wiki/Helios_Seelinger | https://www.guiadasartes.com.br/helios-seelinger/quem-foi,,alta
http://www.wikidata.org/.well-known/genid/00df4ef09b40cf44eb6882aa62198319,,,,,,,,
Francisco de Sousa Lobo,Rio de Janeiro,Academia Imperial de Belas Artes (Aiba); aluno de Debret,c.1824,https://pt.wikipedia.org/wiki/Francisco_de_Sousa_Lobo | https://www.catalogodasartes.com.br/artista/Francisco%20de%20Sousa%20Lobo/,https://pt.wikipedia.org/wiki/Francisco_de_Sousa_Lobo | https://www.catalogodasartes.com.br/artista/Francisco%20de%20Sousa%20Lobo/,https://www.catalogodasartes.com.br/artista/Francisco%20de%20Sousa%20Lobo/,,alta
Miguel Navarro Cañizares,Valência; Madri,Escola de Belas Artes de São Carlos de Valência; Escola de São Fernando; ateliê de Federico de Madrazo y Kuntz,,https://pt.wikipedia.org/wiki/Miguel_Navarro_Ca%C3%B1izares,https://pt.wikipedia.org/wiki/Miguel_Navarro_Ca%C3%B1izares,,,alta
Ferdinand Krumholz,Viena,Akademie der bildenden Künste Wien,,https://www.biographien.ac.at/oebl/oebl_K/Krumholz_Ferdinand_1844_1890.xml,https://www.biographien.ac.at/oebl/oebl_K/Krumholz_Ferdinand_1844_1890.xml,,Cronologia não localizada nesta rodada.,media
http://www.wikidata.org/.well-known/genid/930724ce804f0af8d272d72654be2e40,,,,,,,,
Pedro Bruno,Nápoles; Roma; Rio de Janeiro,"Conservatório de Nápoles; Conservatório de Roma; Academia Inglesa (curso de pintura, em Roma); Escola Nacional de Belas Artes",1905 em diante; 1918; 1918-1922,https://pt.wikipedia.org/wiki/Pedro_Bruno | https://pintorpedrobruno.com.br/biografia-pedro-bruno/,https://pt.wikipedia.org/wiki/Pedro_Bruno | https://pintorpedrobruno.com.br/biografia-pedro-bruno/,https://pt.wikipedia.org/wiki/Pedro_Bruno | https://pintorpedrobruno.com.br/biografia-pedro-bruno/,A trajetória combina formação musical e posterior aperfeiçoamento em pintura.,media
http://www.wikidata.org/.well-known/genid/cc59c9d07de160742f0810a3473d9575,,,,,,,,
http://www.wikidata.org/.well-known/genid/1152b44912b40621bc260b8ae1b1518f,,,,,,,,
Eduardo de Sá,Rio de Janeiro; Paris; Florença,Academia Imperial de Belas Artes; Académie Julian; aulas particulares de escultura com Rodolfo Bernardelli,matrícula em 1883; sem datas exatas para Paris e Florença na fonte,https://pt.wikipedia.org/wiki/Eduardo_de_S%C3%A1 | https://www.catalogodasartes.com.br/artista/Eduardo%20de%20S%EF%BF%BD/,https://pt.wikipedia.org/wiki/Eduardo_de_S%C3%A1 | https://www.catalogodasartes.com.br/artista/Eduardo%20de%20S%EF%BF%BD/,https://pt.wikipedia.org/wiki/Eduardo_de_S%C3%A1 | https://www.catalogodasartes.com.br/artista/Eduardo%20de%20S%EF%BF%BD/,As fontes também citam formação inicial particular com Vítor Meireles.,alta
Carlos Balliester,Rio de Janeiro,estudos com Auguste Petit,,https://pt.wikipedia.org/wiki/Carlos_Balliester | https://www.netsaber.com.br/biografias/biografia-3563/biografia-de-carlos-balliester,https://pt.wikipedia.org/wiki/Carlos_Balliester | https://www.netsaber.com.br/biografias/biografia-3563/biografia-de-carlos-balliester,,A formação aberta recuperável é o estudo com Auguste Petit.,media
Roberto Castellanos,"Florença, Itália",Academia de Bellas Artes de Florencia,1891,https://es.wikipedia.org/wiki/Roberto_Castellanos,https://es.wikipedia.org/wiki/Roberto_Castellanos,https://es.wikipedia.org/wiki/Roberto_Castellanos,estuda pintura em Florença com bolsa de estudos,media
Euclides Fonseca,Recife,estudos de composição com Inocêncio Smolz,,https://pt.wikipedia.org/wiki/Euclides_Fonseca | https://musicabrasilis.org.br/pt-br/compositores/euclides-fonseca/,https://pt.wikipedia.org/wiki/Euclides_Fonseca | https://musicabrasilis.org.br/pt-br/compositores/euclides-fonseca/,,"A formação aberta recuperável aparece por mestre, não por escola formal específica.",media
