Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Silvia Laurentiz,Brazil,Fundação Armando Álvares Penteado (FAAP),,,,,female,BV FAPESP / Currículo Lattes,alto,Currículo FAPESP/Lattes informa bacharelado em Comunicação Visual na FAAP.,lote_37,,
,,University of Campinas,,,,,,BV FAPESP / Currículo Lattes,alto,Currículo FAPESP/Lattes informa mestrado em Multimeios na Universidade Estadual de Campinas.,lote_37,,
,,Pontifícia Universidade Católica de São Paulo,,,,,,BV FAPESP / Currículo Lattes,alto,Currículo FAPESP/Lattes informa doutorado em Comunicação e Semiótica na Pontifícia Universidade Católica de São Paulo.,lote_37,,
Silvia Ruzanka,Peru,Smith College | School of the Art Institute of Chicago,,,,,female,site da artista,médio,Site da artista explicita BA em Physics no Smith College e MFA em Art and Technology no School of the Art Institute of Chicago.,lote_37,,
Simon Boucly,France,Supinfocom Rubika School,,,,,male,FILE Festival,médio,"Biografia de grupo do FILE informa que se graduou pela Supinfocom Rubika School, em Valenciennes, com mestrado em Direção Digital.",lote_37,,
Simon Christoph Krenn,Austria,University of Innsbruck | University of Arts and Industrial Design Linz,,,,,male,Art Meets Radical Openness,médio,Biografia explicita estudos em Biologia e Arquitetura na University of Innsbruck e em Timebased and Interactive Media na University of Arts and Industrial Design Linz.,lote_37,,
Simon Scheiber,Austria,,,,,,male,,,"Fontes consultadas descrevem experiência em design e animação, mas sem instituição nomeada de estudo.",lote_37,,
Simone Rebaudengo,Italy,Delft University of Technology | Polytechnic University of Turin,,,,,male,ThingsCon,médio,Biografia explicita MSc em Design for Interaction na Delft University of Technology e BSc em Industrial Design na Polytechnic University of Turin.,lote_37,,
Sofia Pardillo,United States,Pratt Institute,,,,,female,FILE Festival,médio,"Biografia do FILE explicita BFA em Interactive Digital Arts no Pratt Institute, com minors em Social Practice e Art History.",lote_37,,
Sofie Kampmark,Kingdom of Denmark,"The Animation Workshop, Viborg, Denmark",,,,,female,Danish Film Institute,alto,"Fonte informa bacharelado em Computer Graphic Arts pelo The Animation Workshop, em Viborg.",lote_37,,
Sofía Bertomeu,Spain,,,,,,female,,,"Fontes consultadas mencionam Bellas Artes e mestrado em História/Patrimônio Histórico, mas sem instituição nomeada.",lote_37,,
Solimán López,Spain,University of Córdoba,,Burgos,,,male,nota de imprensa / Paris College of Art,médio,Fonte recente explicita graduação em História da Arte na University of Córdoba; o mestrado em Arte e Comunicação aparece sem instituição nomeada.,lote_37,,
Sonia Li,Taiwan,New York University Tisch School of the Arts,,,,,female,site da artista / NYU Tisch,médio,Site da artista explicita mestrado em Interactive Technology no ITP/Tisch; outras fontes também mencionam bacharelado na SUNY Purchase.,lote_37,,
,United States,State University of New York at Purchase,,,,,,,,,lote_38,,
Soran Ahmed,Iraq,Universität der Künste Berlin,,,,,male,site pessoal do artista,médio,"Biografia pessoal também menciona estudos anteriores em Sulaimani, mas sem nome institucional padronizado suficientemente claro para registrar com segurança.",lote_38,,
Stavros Didakis,Greece,University of Plymouth | Queen's University Belfast | London Metropolitan University,,,,,male,NYU Shanghai | CV do artista,alto,A CV pessoal também menciona formações técnicas em Atenas (IVT AKMI); mantive apenas instituições claramente nomeadas e corroboradas por fonte institucional.,lote_38,,
Stefano Miraglia,Spain,Università degli Studi Roma Tre | École Normale Supérieure de Lyon,,Málaga,,,male,bio do artista,médio,A biografia do artista explicita estudos na Roma Tre e na ENS de Lyon.,lote_38,,
,,École Normale Supérieure de Lyon,,,,,,,,,lote_38,,
Stella Speziali,Switzerland,École cantonale d’art de Lausanne (ECAL) | Zürcher Hochschule der Künste (ZHdK),,,,,female,ZHdK | CV da artista,alto,O CV também menciona estudos em arquitetura na EPFL; mantive aqui as formações em arte/design explicitamente corroboradas por fontes mais diretas.,lote_38,,
Stuart Pound,United Kingdom,Nottingham Trent University,,,,,male,Experimental Cinema,médio,Fonte biográfica informa que aprendeu cinema em Nottingham Trent University.,lote_38,,
Susanna Flock,Austria,University of Art and Design Linz | Academy of Fine Arts Vienna,,Graz,,,female,FILE Festival,médio,A biografia do FILE explicita formação em Linz (2015) e Viena (2017).,16; lote_38,,
,,Academy of Fine Arts Vienna,,,,,,,,,lote_38,,
Susanne Slavick,United States,Yale University | Jagiellonian University | Tyler School of Art,,,,,female,Carnegie Mellon University,alto,"A página institucional informa BA em Yale, estudos na Jagiellonian University e MFA na Tyler School of Art.",lote_38,,
Susanne Wiegner,Germany,Akademie der Bildenden Künste München | Pratt Institute,,,,,female,Haus der Kunst | ADAF,médio,As fontes biográficas concordam sobre estudos em Munique e no Pratt Institute.,lote_38,,
Sylvain Souklaye,France,autodidata,,,,,male,FILE Festival | Prospect Art,médio,As fontes descrevem explicitamente o artista como autodidata.,lote_38,,
Takuji Narumi,Japan,The University of Tokyo,,,,,male,The University of Tokyo,alto,"Página institucional informa BE, ME e PhD pela mesma universidade.",lote_38,,
Tania Aedo,Mexico,"Escuela Superior de Artes de Yucatán | Escuela Nacional de Artes Visuales, Universidad Nacional Autónoma de México",,,,,female,ZKM | FILE Festival,alto,As fontes informam formação em Educação Artística na ESAY e estudos em Artes Visuais na escola da UNAM.,lote_38,,
Tess Adams,United States,Pratt Institute,,,,,,Pratt Institute | FILE Festival,alto,Página do Pratt identifica Tess Adams como BFA Digital Arts.,lote_38,,
Tessa Peters,Netherlands,Winchester School of Art | Middlesex University,,,,,female,University of Westminster,alto,Página institucional informa graduação em Fine Art e MA em History of Design.,lote_38,,
Teun Vonk,Kingdom of the Netherlands,Royal Academy of Art,,Uden,,,male,Lab for the Unstable Media,médio,"Fonte biográfica informa bacharelado em fotografia pela Royal Academy of Art, em Haia; outras formações técnicas são mencionadas sem nomes institucionais totalmente claros.",lote_38,,
Thais Weiller,Brazil,University of São Paulo | Centro Universitário de Maringá,,,,,female,ORCID | site da artista,médio,As fontes indicam mestrado na ECA-USP e graduação em Jornalismo e Design de Moda pelo Centro Universitário de Maringá.,lote_38,,
Thiago Cóser,Brazil,Universidade Estadual de Campinas,,,,,male,FILE Festival,alto,"A biografia do FILE detalha bacharelado, licenciatura e mestrado todos na Unicamp.",lote_38,,
Thiago Sacramento,Brazil,Universidade Federal de Juiz de Fora | Faculdade Angel Vianna,,,,,,FILE Festival,médio,A biografia do FILE explicita estudos em Artes Visuais na UFJF e Dança na Faculdade Angel Vianna.,lote_38,,
Thoka Maer,Germany,Universität der Künste Berlin,,,,,female,site pessoal da artista | Goethe-Institut,alto,As fontes informam estudo em comunicação visual na Universidade das Artes de Berlim.,lote_38,,
Thy Nguyen,United Kingdom,Bournemouth University,,,,,female,FILE Festival,alto,"Biografia do FILE informa graduação recente na Bournemouth University (NCCA), com first class honours.",lote_38,,
Timothy Weaver,United States,University of Colorado Boulder | Purdue University,,,,,male,University of Denver,alto,A nota institucional informa MFA pela University of Colorado Boulder e BS em Microbiology pela Purdue University; o mestrado em engenharia ambiental é citado sem instituição nomeada.,lote_38,,
Tivon Rice,Netherlands,University of Colorado Boulder | University of Washington,,,,,male,DXARTS | Artist Trust,alto,As fontes informam BFA pela University of Colorado Boulder e MFA/PhD pela University of Washington.,lote_38,,
Tom Morris,,,,,,,male,,,Não localizei instituição de ensino explicitamente nomeada em fonte suficientemente confiável; as fontes localizadas mencionam apenas formação escolar genérica ou experiência pré-profissional.,lote_38,,
Tomek Jarolim,France,École supérieure d'art d'Aix-en-Provence | School of the Art Institute of Chicago,,Aix-en-Provence,,,male,FILE Festival,médio,"A biografia do FILE explicita formação nessas duas instituições; o texto também menciona pesquisa no EnsadLab, sem deixar claro se corresponde a titulação.",lote_38,,
Tommy Becker,United States,San Francisco Art Institute | California College of the Arts,,,,,male,FILE Festival | Canyon Cinema,alto,As fontes indicam graduação no San Francisco Art Institute e MFA em Film/Video/Performance na California College of the Arts.,lote_38,,
Toni Mitjanit,Spain,Universitat de les Illes Balears | Universitat Oberta de Catalunya | Escola Superior de Disseny de Palma,,,,,male,Technarte | FILE Festival,médio,Há pequena divergência entre fontes sobre a instituição associada ao doutorado; mantive apenas as instituições explicitamente nomeadas e repetidas nas biografias.,lote_38,,
Tzu-Hsin (Cindy) Yang,Taiwan,Taipei National University of the Arts | California Institute of the Arts,,Taichung,,,female,FILE Festival | site da artista,alto,As fontes informam graduação em animação na Taipei National University of the Arts e estudos em Character Animation no CalArts.,lote_38,,
,,California Institute of the Arts,,,,,,,,,lote_38,,
,,Arts University Bournemouth,,,,,,,,,lote_39,,
Tânia Rodrigues,Brazil,Faculdade de Ciências Humanas e Sociais da Universidade do Algarve,,,,,female,ORCID | Ciência Iscte,médio,ORCID e currículo acadêmico indicam licenciatura e mestrado na Universidade do Algarve; registrei a unidade institucional explicitamente nomeada.,lote_39,,
Uwe Heine Debrodt,Mexico,"Facultad de Química, Universidad Nacional Autónoma de México",,,,,male,Miami New Media Festival,médio,A fonte biográfica explicita estudos universitários na Faculdade de Química da UNAM; não localizei outra instituição nomeada com a mesma clareza.,lote_39,,
Valentina Besegher,Italy,,,,,,female,,,"Biografias consultadas descrevem trajetória artística e festivais, mas não nomeiam instituição de ensino de forma verificável.",lote_39,,
Veneta Androva,Bulgaria,Weißensee Academy of Art Berlin | Humboldt-Universität zu Berlin | Bezalel Academy of Arts and Design,,,,,female,site da artista,alto,"A página oficial da artista informa estudos em Belas Artes na Weißensee, História da Arte e Filosofia na Humboldt e período de estudo em moving image na Bezalel.",lote_39,,
Veronika Obertová,Slovakia,Academy of Fine Arts and Design in Bratislava,,,,,female,Animafest,médio,A biografia do festival informa MA em Visual Communication na Academy of Fine Arts and Design in Bratislava; os estudos em Grécia e Romênia aparecem sem instituições nomeadas.,lote_39,,
Vincent Gallut,France,,,,,,male,,,"As fontes encontradas apresentam portfólio e biografia breve, mas sem instituição de ensino explicitamente nomeada.",lote_39,,
Vincent Houzé,France,,,,,,male,,,"As fontes indicam que estudou computação e design gráfico em Paris, mas sem nomear as instituições.",lote_39,,
Vincenzo Lodigiani,Italy,,,,,,male,,,"A biografia menciona escola de desenho industrial em Milão, mas sem nome institucional suficientemente claro para registro seguro.",lote_39,,
Vj Iluminous (Manolo Fraga),Brazil,Universidade Federal do Paraná,,,,,male,FILE Festival,médio,A biografia do FILE explicita bacharelado em Produção Sonora pela UFPR e também o descreve como VJ e animador autodidata.,lote_39,,
Vladimir Leschiov,Latvia,"J. Rosenthal Riga Art School | Konstfack University College of Arts, Crafts and Design",,Daugavpils,,,male,FILE Festival | Animation World Network,médio,"As fontes concordam sobre formação na J. Rosenthal Riga Art School e em animação na Konstfack, na Suécia.",lote_39,,
Wayne Kirby,United States,Juilliard School | Yale University | New York University,,,,,male,site pessoal | FILE Festival,médio,"As fontes informam estudos de composição na Juilliard, diploma em Yale e doutorado em artes pela New York University.",lote_39,,
Will Luers,United States,Columbia University | University of Pennsylvania,,,,,male,CV do artista,alto,O CV do artista explicita MFA em Film pela Columbia University e BA em Folklore and Folklife pela University of Pennsylvania.,lote_39,,
William A. Brown,United States,University of Florida | Emory University,,,,,male,Vimeo do artista,médio,O perfil do artista informa MFA pela University of Florida e BA pela Emory University.,lote_39,,
William Loew,France,,,,,,male,,,Não localizei fonte confiável que nomeie instituição de ensino para este artista.,lote_39,,
Wim van der Plas,Netherlands,Erasmus University Rotterdam,,,,,male,ACM SIGGRAPH History Archives,alto,A fonte institucional informa estudos em Social & Cultural Sciences na Erasmus University Rotterdam.,lote_39,,
,Kingdom of the Netherlands,,,,,,,,,,lote_39,,
XXIIVV,Canada,,,,,,male,,,"Há menção a algumas aulas de arte na faculdade, mas sem instituição nomeada; não preenchi por falta de evidência suficiente.",lote_39,,
Xabier Monreal,Spain,Escola Massana,,,,,male,FILE Festival,médio,"A biografia do FILE explicita formação pela Escola Massana, em Barcelona.",lote_39,,
Xavier Boissarie,France,Université Paris 8 | Villa Arson | École supérieure d'art d'Aix-en-Provence,,,,,male,site da Orbe,alto,"A página oficial da equipe da Orbe lista passagem pela Université Paris 8, Villa Arson e escola de arte de Aix-en-Provence.",lote_39,,
Xaviera Lopez,Chile,,,,,,female,,,"As fontes indicam formação em Belas Artes e estudos em escola de arte em Santiago, mas sem instituição nomeada com segurança.",lote_39,,
Yali Herbet,Israel,Bezalel Academy of Arts and Design,,,,,female,FILE Festival | Animafest,alto,As fontes informam BFA pela Bezalel Academy of Arts and Design.,lote_39,,
Yasmin Salama,Palestine,,,Palestine,,,,,,Não localizei fonte suficientemente robusta para vincular com segurança este nome a uma instituição de ensino específica.,lote_39,,
Yiannis Kranidiotis,Greece,University of Patras | University of Essex | National and Kapodistrian University of Athens,,,,,male,site do artista | Onassis Foundation,alto,"As fontes informam BSc em Physics pela University of Patras, MSc em Optics pela University of Essex e doutoramento em curso na National and Kapodistrian University of Athens.",lote_39,,
